employee_id,project_id,role_on_project,level_at_time,pm_review,peer_collaboration_avg,delivery_score,was_successful,true_effectiveness
E10720,P1114,SRE,L5,3.4,4.2,4.0,1,3.714
E10091,P1060,Tech Lead,L4,1.3,2.5,1.0,0,2.742
E10124,P1191,Tech Lead,L5,4.0,3.7,5.0,1,3.87
E10436,P1013,Software Engineer,L4,2.4,4.0,4.0,0,3.382
E10338,P1021,SRE,L4,1.9,2.7,2.9,0,2.543
E10066,P1159,SRE,L4,3.3,4.4,3.6,1,3.608
E10511,P1131,SRE,L5,4.8,3.6,3.0,1,3.768
E10678,P1181,Tech Lead,L3,2.9,3.0,2.8,0,2.865
E10091,P1170,Tech Lead,L4,2.0,3.0,2.4,0,2.805
E10059,P1081,Software Engineer,L5,4.7,3.5,2.7,1,3.418
E10323,P1224,SRE,L5,5.0,3.9,4.4,1,3.968
E10560,P1161,SRE,L6,3.4,3.0,4.2,0,3.715
E10246,P1160,Tech Lead,L4,2.5,2.6,2.5,0,3.064
E10119,P1003,SRE,L5,2.7,3.3,2.6,0,3.532
E10116,P1045,Software Engineer,L6,4.1,2.8,3.8,0,3.396
E10191,P1097,Software Engineer,L4,2.2,2.3,2.2,0,2.613
E10633,P1047,SRE,L5,4.4,5.0,4.6,1,4.564
E10429,P1161,Software Engineer,L6,4.0,4.9,3.3,1,4.188
E10180,P1079,Software Engineer,L6,3.4,3.6,3.6,0,3.942
E10593,P1215,Tech Lead,L6,3.3,3.5,2.8,0,3.777
E10616,P1178,Software Engineer,L6,5.0,4.4,3.3,1,4.084
E10757,P1182,SRE,L6,3.3,3.7,3.7,0,3.468
E10026,P1101,Tech Lead,L4,3.0,3.7,4.0,0,3.154
E10440,P1168,SRE,L4,2.6,2.3,1.0,0,2.534
E10292,P1050,Tech Lead,L6,3.0,2.8,4.1,0,2.988
E10639,P1184,Tech Lead,L7,4.6,4.5,5.0,1,4.366
E10428,P1003,Tech Lead,L5,5.0,4.6,4.5,1,4.752
E10721,P1142,Tech Lead,L6,4.8,4.8,4.7,1,4.661
E10742,P1063,Tech Lead,L5,4.3,4.5,3.9,1,4.138
E10664,P1057,SRE,L6,3.2,3.6,2.4,0,3.008
E10155,P1134,Software Engineer,L4,4.4,3.4,3.4,1,3.512
E10010,P1000,Tech Lead,L5,3.6,4.0,4.2,1,4.281
E10058,P1064,Tech Lead,L3,2.5,2.6,3.6,0,2.942
E10434,P1016,Tech Lead,L4,4.1,3.7,3.6,1,3.696
E10117,P1020,SRE,L6,4.6,4.9,4.3,1,4.601
E10324,P1012,SRE,L5,4.4,4.4,4.6,1,4.384
E10004,P1167,Tech Lead,L4,3.8,3.3,4.0,1,4.213
E10446,P1084,Software Engineer,L7,4.8,5.0,5.0,1,4.872
E10692,P1221,SRE,L4,1.8,3.3,2.3,0,2.802
E10258,P1120,Tech Lead,L6,3.8,2.7,3.2,0,2.724
E10311,P1016,SRE,L7,4.5,4.7,4.2,1,4.663
E10080,P1084,Tech Lead,L5,3.7,3.7,4.1,1,3.913
E10402,P1212,Tech Lead,L4,2.5,2.5,2.8,0,2.467
E10551,P1157,Software Engineer,L7,4.0,3.6,4.0,1,3.464
E10079,P1181,SRE,L6,3.7,3.3,5.0,1,4.5
E10507,P1049,SRE,L5,3.6,4.7,3.5,1,3.951
E10388,P1217,Software Engineer,L7,2.8,2.0,2.6,0,2.791
E10203,P1022,Software Engineer,L5,4.6,3.7,4.2,1,4.232
E10423,P1118,Software Engineer,L7,4.1,5.0,3.7,1,3.847
E10757,P1005,SRE,L6,4.0,4.6,4.5,1,4.597
E10534,P1120,Software Engineer,L5,4.8,3.4,4.7,1,4.185
E10274,P1094,Software Engineer,L7,3.4,3.7,3.0,0,3.785
E10644,P1011,SRE,L5,3.2,4.1,4.2,1,3.911
E10789,P1048,Tech Lead,L6,3.5,3.7,2.9,0,3.878
E10347,P1105,Tech Lead,L8,4.3,4.2,3.9,1,4.433
E10724,P1135,Software Engineer,L5,3.5,3.8,2.6,0,3.247
E10163,P1046,Tech Lead,L7,4.8,4.5,5.0,1,4.718
E10059,P1110,SRE,L5,2.1,3.3,2.2,0,2.758
E10789,P1058,SRE,L6,4.2,4.1,4.0,1,3.937
E10450,P1193,Tech Lead,L5,3.1,3.0,3.9,0,3.686
E10050,P1178,SRE,L5,4.5,5.0,4.3,1,4.317
E10118,P1090,SRE,L5,2.9,3.3,1.9,0,2.335
E10085,P1101,SRE,L5,3.2,3.8,2.8,0,3.177
E10003,P1145,SRE,L5,4.4,2.6,2.6,0,3.669
E10617,P1167,Software Engineer,L4,4.2,4.1,4.6,1,4.429
E10764,P1115,Tech Lead,L6,4.9,3.8,5.0,1,4.434
E10248,P1072,Tech Lead,L6,2.6,3.1,4.4,0,3.392
E10452,P1063,SRE,L4,3.2,2.0,3.1,0,3.28
E10583,P1181,Tech Lead,L6,3.8,2.2,2.7,0,3.493
E10734,P1129,Tech Lead,L6,3.0,3.6,2.9,0,2.995
E10794,P1122,Tech Lead,L4,4.0,3.2,2.9,0,2.975
E10636,P1166,SRE,L5,3.3,3.0,4.6,1,3.832
E10265,P1163,Software Engineer,L5,2.1,2.8,2.5,0,2.814
E10390,P1050,SRE,L3,3.3,3.2,3.6,0,2.906
E10423,P1087,SRE,L7,4.4,4.5,4.6,1,4.305
E10089,P1205,Software Engineer,L5,3.7,3.3,3.1,0,3.529
E10127,P1072,Tech Lead,L3,3.6,3.7,3.4,0,3.46
E10274,P1108,SRE,L7,4.8,4.4,5.0,1,4.742
E10035,P1115,Tech Lead,L6,3.4,4.2,4.5,1,3.903
E10623,P1067,Software Engineer,L5,3.4,3.9,3.5,0,3.804
E10199,P1027,Tech Lead,L3,1.9,1.9,2.2,0,2.354
E10483,P1083,SRE,L5,4.5,5.0,3.4,1,4.334
E10463,P1166,Tech Lead,L7,4.2,5.0,3.8,1,4.351
E10699,P1094,SRE,L8,4.7,4.6,4.7,1,4.24
E10369,P1085,Software Engineer,L4,3.4,2.8,3.4,0,3.241
E10748,P1124,Software Engineer,L5,3.5,3.8,5.0,1,3.856
E10541,P1007,Tech Lead,L5,2.9,4.0,3.6,0,3.468
E10754,P1144,SRE,L5,4.1,2.7,4.4,1,3.89
E10330,P1005,Tech Lead,L7,4.4,3.6,4.1,1,3.857
E10046,P1173,Tech Lead,L5,5.0,4.3,5.0,1,4.3
E10711,P1111,SRE,L4,3.0,2.4,3.2,0,3.053
E10470,P1209,Tech Lead,L5,3.6,3.2,3.3,0,3.757
E10119,P1200,Software Engineer,L5,3.9,3.7,4.0,1,3.677
E10143,P1143,Software Engineer,L5,4.7,4.1,3.7,1,4.07
E10438,P1080,Software Engineer,L6,4.7,3.4,5.0,1,3.972
E10159,P1102,Software Engineer,L6,3.1,4.0,3.9,1,3.988
E10542,P1042,SRE,L5,3.6,4.4,3.6,1,4.129
E10005,P1069,Tech Lead,L4,2.4,3.1,2.0,0,2.809
E10594,P1112,Tech Lead,L7,4.3,4.5,3.4,1,4.0
E10723,P1120,Tech Lead,L5,4.2,3.9,2.8,1,3.641
E10528,P1106,Tech Lead,L5,3.8,4.2,3.6,1,4.093
E10125,P1039,Software Engineer,L7,2.9,3.6,3.8,0,2.991
E10061,P1102,Software Engineer,L5,3.1,3.1,2.4,0,3.008
E10338,P1165,Software Engineer,L4,3.6,2.4,3.3,0,2.836
E10767,P1019,Software Engineer,L5,1.4,2.7,3.0,0,2.516
E10155,P1119,SRE,L4,2.4,2.2,1.7,0,2.179
E10775,P1175,SRE,L4,4.3,3.0,4.5,1,3.764
E10429,P1142,SRE,L6,3.5,3.3,2.8,0,3.481
E10534,P1131,Software Engineer,L5,2.9,3.1,2.7,0,3.017
E10051,P1120,Tech Lead,L5,3.8,2.8,3.1,0,3.237
E10437,P1152,SRE,L6,4.3,4.2,4.4,1,4.15
E10332,P1000,Software Engineer,L5,3.8,4.3,4.2,1,4.354
E10143,P1003,SRE,L5,4.3,4.5,3.1,1,3.799
E10008,P1044,SRE,L4,2.3,3.4,2.6,0,3.015
E10218,P1202,Tech Lead,L5,2.2,1.9,2.1,0,2.874
E10594,P1082,Software Engineer,L7,2.9,2.9,2.4,0,2.744
E10529,P1098,Tech Lead,L8,4.1,4.1,4.6,1,4.21
E10347,P1199,Software Engineer,L8,3.4,3.0,2.7,0,3.19
E10575,P1061,SRE,L4,2.8,3.5,3.4,0,3.35
E10391,P1155,SRE,L5,1.9,3.1,3.0,0,3.065
E10513,P1081,SRE,L7,3.9,4.0,3.7,1,4.063
E10064,P1100,Tech Lead,L5,4.8,3.7,4.0,1,4.043
E10260,P1128,Tech Lead,L8,4.1,4.5,3.4,1,4.098
E10301,P1053,Software Engineer,L5,4.4,3.4,4.4,1,4.064
E10783,P1029,SRE,L3,3.5,2.2,3.6,0,3.16
E10474,P1108,Software Engineer,L5,2.5,2.6,2.7,0,3.318
E10345,P1062,Tech Lead,L7,5.0,4.5,4.2,1,4.259
E10413,P1177,Tech Lead,L7,2.9,3.4,3.7,0,2.995
E10450,P1067,Software Engineer,L5,4.7,4.7,4.0,1,4.358
E10689,P1210,SRE,L5,3.1,3.4,3.6,0,3.656
E10679,P1036,Tech Lead,L3,3.2,2.9,2.9,0,3.541
E10445,P1001,Tech Lead,L7,4.0,3.9,4.6,1,4.532
E10587,P1174,Tech Lead,L6,4.9,4.7,4.5,1,4.566
E10486,P1088,SRE,L7,3.3,4.3,2.8,0,3.675
E10482,P1128,Tech Lead,L5,3.3,4.0,3.7,1,3.879
E10769,P1115,Software Engineer,L4,3.6,4.5,2.9,1,3.543
E10790,P1184,Software Engineer,L4,3.2,3.2,2.8,0,3.192
E10610,P1178,Software Engineer,L4,4.4,4.2,4.7,1,4.095
E10089,P1132,SRE,L5,1.8,2.6,2.3,0,2.746
E10325,P1201,Tech Lead,L5,3.6,3.3,4.3,1,3.711
E10547,P1034,SRE,L7,4.5,3.3,4.1,1,3.502
E10686,P1064,Tech Lead,L3,2.6,3.4,2.8,0,2.623
E10193,P1162,Tech Lead,L6,3.8,3.4,4.1,1,3.434
E10496,P1017,Software Engineer,L6,3.9,3.9,3.2,1,3.556
E10604,P1220,Tech Lead,L6,3.8,3.9,3.5,1,3.898
E10042,P1138,SRE,L4,3.1,2.9,2.5,0,2.99
E10401,P1220,Software Engineer,L7,2.9,4.3,4.6,1,3.412
E10529,P1160,SRE,L8,4.4,5.0,3.7,1,4.16
E10341,P1180,SRE,L7,3.9,2.9,2.5,0,3.511
E10143,P1134,Tech Lead,L5,3.7,3.4,3.0,0,3.665
E10274,P1114,Tech Lead,L7,4.0,4.6,4.2,1,3.862
E10598,P1023,Tech Lead,L4,3.2,2.7,2.2,0,2.387
E10779,P1097,SRE,L7,4.2,3.3,3.3,0,3.75
E10278,P1179,SRE,L4,2.8,2.6,1.0,0,2.658
E10287,P1062,Software Engineer,L6,4.3,4.7,5.0,1,4.283
E10530,P1104,SRE,L4,2.7,2.5,2.3,0,3.096
E10165,P1180,Tech Lead,L4,3.7,3.4,3.8,1,3.439
E10032,P1164,Tech Lead,L7,3.5,2.3,2.9,0,3.086
E10103,P1055,Tech Lead,L6,3.9,3.8,3.0,0,4.009
E10080,P1005,Tech Lead,L5,5.0,4.5,3.9,1,4.03
E10408,P1074,Tech Lead,L4,3.9,4.4,2.5,0,3.785
E10114,P1166,Tech Lead,L5,4.9,3.0,3.8,1,4.171
E10499,P1201,Tech Lead,L6,2.4,2.3,1.8,0,2.605
E10248,P1097,SRE,L6,3.2,3.7,3.1,0,3.321
E10228,P1110,Tech Lead,L6,5.0,3.3,4.7,1,4.353
E10730,P1090,Software Engineer,L5,4.2,4.8,3.2,1,4.188
E10745,P1173,Tech Lead,L7,4.4,2.6,3.6,0,3.692
E10462,P1006,Software Engineer,L5,3.3,3.2,3.0,0,3.051
E10540,P1147,Software Engineer,L4,2.2,3.3,2.8,0,3.288
E10452,P1091,SRE,L4,4.7,3.7,3.4,1,3.639
E10114,P1172,Software Engineer,L5,4.1,5.0,4.0,1,4.28
E10386,P1162,Tech Lead,L8,2.8,4.0,2.8,0,2.858
E10422,P1155,Tech Lead,L6,4.0,3.9,4.8,1,4.249
E10776,P1156,SRE,L5,3.9,4.1,3.5,1,3.775
E10600,P1099,Software Engineer,L8,3.1,4.1,4.7,1,4.188
E10275,P1143,Tech Lead,L5,4.6,4.1,3.3,1,4.158
E10053,P1036,Tech Lead,L5,2.2,3.5,4.2,0,3.716
E10651,P1166,Tech Lead,L5,3.8,5.0,5.0,1,4.358
E10252,P1125,SRE,L4,4.7,3.9,4.3,1,3.696
E10020,P1067,SRE,L4,3.2,3.8,4.0,1,3.842
E10193,P1092,SRE,L6,4.0,4.5,3.5,1,3.113
E10154,P1179,Software Engineer,L5,3.6,3.5,3.2,0,4.021
E10080,P1147,Tech Lead,L5,4.0,3.3,3.8,1,3.597
E10481,P1146,Tech Lead,L6,3.6,4.3,3.3,1,4.061
E10716,P1022,Software Engineer,L4,3.5,3.6,2.8,0,3.512
E10584,P1052,Tech Lead,L4,2.7,3.3,2.2,0,3.087
E10518,P1017,Tech Lead,L4,3.5,3.8,3.0,0,3.271
E10070,P1061,SRE,L6,4.0,4.4,3.5,1,4.28
E10064,P1181,SRE,L5,4.0,4.2,5.0,1,4.397
E10505,P1012,Tech Lead,L6,2.8,3.3,3.0,0,3.471
E10573,P1040,Tech Lead,L5,3.5,3.7,4.4,1,4.012
E10569,P1100,Tech Lead,L5,3.8,4.4,4.0,1,4.062
E10384,P1220,Software Engineer,L4,4.0,3.5,4.9,1,4.233
E10538,P1219,Tech Lead,L7,3.6,4.2,4.2,1,3.738
E10704,P1074,Tech Lead,L7,4.5,4.7,4.6,1,4.44
E10302,P1204,Tech Lead,L5,4.6,4.5,5.0,1,4.496
E10460,P1088,Software Engineer,L4,4.1,4.3,3.4,1,3.637
E10676,P1211,SRE,L4,3.0,3.1,3.5,0,2.878
E10074,P1128,Tech Lead,L4,2.7,2.5,2.6,0,2.496
E10757,P1216,Software Engineer,L6,2.0,2.1,3.5,0,2.764
E10409,P1108,Tech Lead,L7,4.5,5.0,5.0,1,4.779
E10683,P1175,Software Engineer,L7,3.8,3.2,3.7,0,3.089
E10509,P1126,Software Engineer,L4,3.9,3.4,3.7,1,3.271
E10235,P1143,Tech Lead,L5,4.7,5.0,4.5,1,4.305
E10242,P1136,Tech Lead,L6,2.6,2.9,3.2,0,2.967
E10005,P1085,SRE,L4,2.8,1.9,2.7,0,2.935
E10535,P1214,Software Engineer,L3,2.5,3.0,2.8,0,2.545
E10616,P1147,Software Engineer,L6,3.2,3.2,3.5,0,3.511
E10338,P1109,Software Engineer,L4,4.5,5.0,4.3,1,4.1
E10170,P1136,Tech Lead,L7,4.5,3.8,4.4,1,4.043
E10362,P1204,Tech Lead,L6,4.8,4.7,4.5,1,4.475
E10398,P1058,Tech Lead,L6,3.9,4.2,4.4,1,4.338
E10005,P1091,Software Engineer,L4,3.1,4.1,3.0,0,3.244
E10154,P1180,Software Engineer,L5,4.2,3.6,4.4,1,4.057
E10029,P1078,Tech Lead,L5,5.0,4.8,3.7,1,4.467
E10458,P1087,SRE,L6,4.7,4.3,5.0,1,4.324
E10513,P1063,Tech Lead,L7,5.0,4.0,4.0,1,4.272
E10326,P1206,Tech Lead,L7,3.8,4.0,3.7,1,4.169
E10525,P1216,Tech Lead,L6,3.2,3.2,3.9,0,3.181
E10125,P1164,SRE,L7,2.5,4.3,3.7,0,3.849
E10535,P1120,Tech Lead,L3,3.1,2.4,3.2,0,3.225
E10414,P1204,SRE,L6,2.2,3.5,2.9,0,3.122
E10778,P1161,Tech Lead,L4,4.1,3.3,4.8,1,3.995
E10059,P1008,Software Engineer,L5,2.9,2.4,3.7,0,2.464
E10391,P1061,SRE,L5,4.6,2.7,3.7,1,3.658
E10348,P1107,Software Engineer,L7,3.2,2.7,3.0,0,3.601
E10462,P1078,Software Engineer,L5,4.1,3.6,4.0,1,4.154
E10370,P1189,Tech Lead,L6,2.4,3.9,3.5,0,3.761
E10770,P1043,SRE,L6,4.9,3.3,5.0,1,5.0
E10243,P1114,Software Engineer,L6,3.4,3.7,3.4,0,3.889
E10114,P1059,SRE,L5,4.4,4.6,4.2,1,4.351
E10535,P1124,SRE,L3,2.7,3.0,2.9,0,2.896
E10667,P1026,Tech Lead,L7,2.9,4.6,4.2,1,4.196
E10749,P1223,Tech Lead,L3,2.3,3.5,3.3,0,2.549
E10709,P1044,SRE,L5,3.1,3.7,4.5,1,3.267
E10379,P1051,SRE,L6,1.8,2.5,1.6,0,2.709
E10429,P1125,SRE,L6,3.6,3.7,2.2,0,2.855
E10116,P1120,SRE,L6,3.9,3.7,2.2,0,3.906
E10364,P1221,Tech Lead,L4,3.3,2.8,4.5,0,3.22
E10095,P1186,Tech Lead,L3,2.6,2.8,2.3,0,2.495
