project_id,title,description,domain,priority,required_team_size_min,required_team_size_max,required_team_size_target,required_roles,required_skills,tech_requirements,duration_weeks,target_start_date,status,current_staffing_count,current_staffed_ids
P1000,Next-Gen Recommendation Engine,A high-impact YouTube effort focused on shipping production-grade infrastructure.,YouTube,5,8,12,9,"[{""role"": ""Software Engineer"", ""min_level"": ""L3"", ""count"": 9}]","[{""skill"": ""Distributed Systems"", ""min_proficiency"": 4, ""weight"": 1.03}, {""skill"": ""Performance Optimization"", ""min_proficiency"": 3, ""weight"": 0.94}, {""skill"": ""Backend APIs"", ""min_proficiency"": 3, ""weight"": 0.85}]","[""SRE/Observability"", ""TensorFlow/PyTorch"", ""Python"", ""Java""]",14,2026-08-30,completed,5,[]
P1001,On-Device Watch-Next Service,A high-impact YouTube effort focused on shipping production-grade infrastructure.,YouTube,3,3,5,4,"[{""role"": ""Software Engineer"", ""min_level"": ""L3"", ""count"": 4}]","[{""skill"": ""Distributed Systems"", ""min_proficiency"": 3, ""weight"": 0.72}, {""skill"": ""Performance Optimization"", ""min_proficiency"": 4, ""weight"": 0.94}, {""skill"": ""Backend APIs"", ""min_proficiency"": 4, ""weight"": 1.13}]","[""C++"", ""Python""]",24,2026-08-07,completed,4,[]
P1002,Streaming Autoscaler,A high-impact Cloud effort focused on shipping production-grade infrastructure.,Cloud,4,3,7,3,"[{""role"": ""Tech Lead"", ""min_level"": ""L7"", ""count"": 1}, {""role"": ""Software Engineer"", ""min_level"": ""L3"", ""count"": 3}]","[{""skill"": ""Cloud (GCP/AWS)"", ""min_proficiency"": 3, ""weight"": 0.84}, {""skill"": ""Kubernetes"", ""min_proficiency"": 3, ""weight"": 1.1}, {""skill"": ""Distributed Systems"", ""min_proficiency"": 4, ""weight"": 0.78}, {""skill"": ""Go"", ""min_proficiency"": 3, ""weight"": 0.71}, {""skill"": ""SRE/Observability"", ""min_proficiency"": 3, ""weight"": 0.66}, {""skill"": ""Backend APIs"", ""min_proficiency"": 4, ""weight"": 0.61}]","[""Go"", ""JavaScript/TypeScript"", ""Python""]",45,2026-08-01,completed,3,[]
P1003,Generative Build System 2.0,A high-impact Infra effort focused on shipping production-grade infrastructure.,Infra,4,4,8,8,"[{""role"": ""Software Engineer"", ""min_level"": ""L4"", ""count"": 8}]","[{""skill"": ""Distributed Systems"", ""min_proficiency"": 4, ""weight"": 0.85}, {""skill"": ""Kubernetes"", ""min_proficiency"": 4, ""weight"": 0.96}, {""skill"": ""SRE/Observability"", ""min_proficiency"": 4, ""weight"": 1.03}, {""skill"": ""Go"", ""min_proficiency"": 3, ""weight"": 1.18}, {""skill"": ""C++"", ""min_proficiency"": 3, ""weight"": 0.76}]","[""C++"", ""Cloud (GCP/AWS)"", ""Java""]",16,2026-07-11,completed,2,[]
P1004,Low-Latency Sharing Layer Rewrite,A high-impact Workspace effort focused on shipping production-grade infrastructure.,Workspace,1,7,12,11,"[{""role"": ""Tech Lead"", ""min_level"": ""L5"", ""count"": 1}, {""role"": ""Project Manager"", ""min_level"": ""L6"", ""count"": 1}, {""role"": ""Software Engineer"", ""min_level"": ""L5"", ""count"": 9}]","[{""skill"": ""Frontend"", ""min_proficiency"": 4, ""weight"": 0.93}, {""skill"": ""JavaScript/TypeScript"", ""min_proficiency"": 4, ""weight"": 0.68}, {""skill"": ""Backend APIs"", ""min_proficiency"": 4, ""weight"": 0.83}, {""skill"": ""Databases"", ""min_proficiency"": 3, ""weight"": 1.14}, {""skill"": ""Product Sense"", ""min_proficiency"": 4, ""weight"": 0.79}, {""skill"": ""Security"", ""min_proficiency"": 4, ""weight"": 0.61}]","[""Performance Optimization""]",15,2026-09-09,completed,2,[]
P1005,Federated Service Mesh 2.0,A high-impact Infra effort focused on shipping production-grade infrastructure.,Infra,3,4,7,7,"[{""role"": ""Tech Lead"", ""min_level"": ""L5"", ""count"": 1}, {""role"": ""Software Engineer"", ""min_level"": ""L5"", ""count"": 6}]","[{""skill"": ""Distributed Systems"", ""min_proficiency"": 3, ""weight"": 0.77}, {""skill"": ""Kubernetes"", ""min_proficiency"": 4, ""weight"": 0.91}, {""skill"": ""SRE/Observability"", ""min_proficiency"": 4, ""weight"": 0.87}, {""skill"": ""Go"", ""min_proficiency"": 3, ""weight"": 0.9}]","[""TensorFlow/PyTorch"", ""Kubernetes"", ""Backend APIs"", ""Distributed Systems""]",17,2026-09-27,completed,2,[]
P1006,Next-Gen Ingest Pipeline 2.0,A high-impact YouTube effort focused on shipping production-grade infrastructure.,YouTube,1,4,7,7,"[{""role"": ""Tech Lead"", ""min_level"": ""L7"", ""count"": 1}, {""role"": ""Project Manager"", ""min_level"": ""L5"", ""count"": 1}, {""role"": ""Software Engineer"", ""min_level"": ""L4"", ""count"": 5}]","[{""skill"": ""Distributed Systems"", ""min_proficiency"": 3, ""weight"": 0.61}, {""skill"": ""Performance Optimization"", ""min_proficiency"": 4, ""weight"": 0.75}, {""skill"": ""Backend APIs"", ""min_proficiency"": 4, ""weight"": 1.05}, {""skill"": ""Frontend"", ""min_proficiency"": 4, ""weight"": 0.87}, {""skill"": ""Databases"", ""min_proficiency"": 3, ""weight"": 0.97}]","[""C++""]",24,2026-07-13,completed,5,[]
P1007,Multi-Region Query Understanding,A high-impact Search effort focused on shipping production-grade infrastructure.,Search,1,3,7,7,"[{""role"": ""Tech Lead"", ""min_level"": ""L7"", ""count"": 1}, {""role"": ""Project Manager"", ""min_level"": ""L5"", ""count"": 1}, {""role"": ""Software Engineer"", ""min_level"": ""L3"", ""count"": 5}]","[{""skill"": ""Distributed Systems"", ""min_proficiency"": 3, ""weight"": 0.83}, {""skill"": ""C++"", ""min_proficiency"": 4, ""weight"": 0.78}, {""skill"": ""Performance Optimization"", ""min_proficiency"": 3, ""weight"": 1.17}, {""skill"": ""Databases"", ""min_proficiency"": 4, ""weight"": 0.89}, {""skill"": ""Backend APIs"", ""min_proficiency"": 4, ""weight"": 0.83}, {""skill"": ""Machine Learning"", ""min_proficiency"": 3, ""weight"": 0.63}]","[""C++"", ""Product Sense"", ""Data Engineering"", ""Frontend""]",13,2026-07-10,completed,6,[]
P1008,Cross-Platform Bidding Platform v2,A high-impact Ads effort focused on shipping production-grade infrastructure.,Ads,3,3,8,7,"[{""role"": ""Tech Lead"", ""min_level"": ""L6"", ""count"": 1}, {""role"": ""Software Engineer"", ""min_level"": ""L4"", ""count"": 6}]","[{""skill"": ""Machine Learning"", ""min_proficiency"": 3, ""weight"": 0.98}, {""skill"": ""BigQuery"", ""min_proficiency"": 3, ""weight"": 0.64}, {""skill"": ""Data Engineering"", ""min_proficiency"": 3, ""weight"": 0.79}, {""skill"": ""Backend APIs"", ""min_proficiency"": 3, ""weight"": 0.77}]","[""Cloud (GCP/AWS)"", ""Performance Optimization"", ""Kubernetes""]",26,2026-09-10,completed,7,[]
P1009,Adaptive Networking Fabric,A high-impact Cloud effort focused on shipping production-grade infrastructure.,Cloud,4,8,12,9,"[{""role"": ""Tech Lead"", ""min_level"": ""L5"", ""count"": 1}, {""role"": ""Project Manager"", ""min_level"": ""L5"", ""count"": 1}, {""role"": ""Software Engineer"", ""min_level"": ""L4"", ""count"": 7}]","[{""skill"": ""Cloud (GCP/AWS)"", ""min_proficiency"": 3, ""weight"": 1.15}, {""skill"": ""Kubernetes"", ""min_proficiency"": 3, ""weight"": 0.91}, {""skill"": ""Distributed Systems"", ""min_proficiency"": 4, ""weight"": 1.18}]","[""Security""]",30,2026-08-31,completed,3,[]
